c0_left	 c0_right	 c_front	 c_back	 c_mean	 dcdx_mean	 p0	 dNu	 pfavg	 pbavg
7.53566e-007	0	1.05348e-008	9.27586e-009	9.90535e-009	0.000125899	2.51189e-008	4.19385e-005	0.000335597	0.00032342
7.53566e-007	0	6.27153e-009	5.43741e-009	5.85447e-009	8.34112e-005	3.16228e-008	2.77929e-005	0.000198742	0.000190672
7.53566e-007	0	3.51066e-009	2.9915e-009	3.25108e-009	5.19162e-005	3.98107e-008	1.73016e-005	0.000110595	0.000105572
7.53566e-007	0	1.83685e-009	1.53517e-009	1.68601e-009	3.01681e-005	5.01187e-008	1.00549e-005	5.74831e-005	5.45642e-005
7.53566e-007	0	8.93369e-010	7.30644e-010	8.12006e-010	1.62724e-005	6.30957e-008	5.42385e-006	2.77509e-005	2.61766e-005
7.53566e-007	0	4.02282e-010	3.21156e-010	3.61719e-010	8.11266e-006	7.94328e-008	2.70416e-006	1.23937e-005	1.16088e-005
7.53566e-007	0	1.67621e-010	1.30273e-010	1.48947e-010	3.73478e-006	1e-007	1.24491e-006	5.11728e-006	4.756e-006
7.53566e-007	0	6.5001e-011	4.90415e-011	5.70212e-011	1.59595e-006	1.25893e-007	5.31981e-007	1.96465e-006	1.81029e-006
7.53566e-007	0	2.38072e-011	1.73876e-011	2.05974e-011	6.4196e-007	1.58489e-007	2.13987e-007	7.1179e-007	6.49707e-007
7.53566e-007	0	8.44426e-012	5.95462e-012	7.19944e-012	2.48964e-007	1.99526e-007	8.2988e-008	2.49548e-007	2.25474e-007
7.53566e-007	0	2.98495e-012	2.02824e-012	2.50659e-012	9.56709e-008	2.51189e-007	3.18903e-008	8.71491e-008	7.78985e-008
7.53566e-007	0	1.07594e-012	7.03732e-013	8.89835e-013	3.72206e-008	3.16228e-007	1.24069e-008	3.10312e-008	2.74323e-008
7.53566e-007	0	4.02651e-013	2.53458e-013	3.28054e-013	1.49194e-008	3.98107e-007	4.97312e-009	1.14744e-008	1.00318e-008
7.53566e-007	0	1.60268e-013	9.69897e-014	1.28629e-013	6.32784e-009	5.01187e-007	2.10928e-009	4.51265e-009	3.90072e-009
7.53566e-007	0	7.01465e-014	4.06034e-014	5.53749e-014	2.95432e-009	6.30957e-007	9.84772e-010	1.94869e-009	1.66303e-009
7.53566e-007	0	3.47283e-014	1.90268e-014	2.68776e-014	1.57016e-009	7.94328e-007	5.23385e-010	9.4864e-010	7.96922e-010
7.53566e-007	0	1.95687e-014	1.00218e-014	1.47952e-014	9.54695e-010	1e-006	3.18232e-010	5.23491e-010	4.31363e-010
7.53566e-007	0	1.23024e-014	5.82962e-015	9.06603e-015	6.47282e-010	1.25893e-006	2.15761e-010	3.21343e-010	2.58987e-010
7.53566e-007	0	8.36577e-015	3.64119e-015	6.00348e-015	4.72458e-010	1.58489e-006	1.57486e-010	2.13012e-010	1.67583e-010
7.53566e-007	0	6.01024e-015	2.38849e-015	4.19936e-015	3.62175e-010	1.99526e-006	1.20725e-010	1.49049e-010	1.14292e-010
7.53566e-007	0	4.51094e-015	1.62761e-015	3.06927e-015	2.88333e-010	2.51189e-006	9.61111e-011	1.08888e-010	8.12746e-011
7.53566e-007	0	3.52626e-015	1.14727e-015	2.33677e-015	2.37899e-010	3.16228e-006	7.92998e-011	8.27681e-011	6.00378e-011
7.53566e-007	0	2.86369e-015	8.30585e-016	1.84714e-015	2.0331e-010	3.98107e-006	6.77701e-011	6.51838e-011	4.58157e-011
7.53566e-007	0	2.39901e-015	6.09158e-016	1.50409e-015	1.78985e-010	5.01187e-006	5.96618e-011	5.26795e-011	3.57004e-011
7.53566e-007	0	2.05368e-015	4.46328e-016	1.25e-015	1.60735e-010	6.30957e-006	5.35783e-011	4.32074e-011	2.80516e-011
7.53566e-007	0	1.77688e-015	3.23736e-016	1.05031e-015	1.45315e-010	7.94328e-006	4.84382e-011	3.56121e-011	2.2016e-011
7.53566e-007	0	1.52955e-015	2.30917e-016	8.80233e-016	1.29863e-010	1e-005	4.32878e-011	2.91531e-011	1.71042e-011
1.19432e-006	0	6.03727e-007	5.86213e-007	5.9497e-007	0.00175135	1e-011	0.000561299	0.019526	0.0193629
1.19432e-006	0	6.03149e-007	5.85641e-007	5.94395e-007	0.00175078	1.25893e-011	0.000561139	0.0195075	0.0193445
1.19432e-006	0	6.02423e-007	5.84923e-007	5.93673e-007	0.00175007	1.58489e-011	0.000560937	0.0194843	0.0193214
1.19432e-006	0	6.01512e-007	5.8402e-007	5.92766e-007	0.00174918	1.99526e-011	0.000560684	0.0194552	0.0192924
1.19432e-006	0	6.00367e-007	5.82887e-007	5.91627e-007	0.00174805	2.51189e-011	0.000560365	0.0194187	0.0192559
1.19432e-006	0	5.98932e-007	5.81465e-007	5.90198e-007	0.00174664	3.16228e-011	0.000559963	0.0193728	0.0192102
1.19432e-006	0	5.97132e-007	5.79684e-007	5.88408e-007	0.00174486	3.98107e-011	0.000559458	0.0193153	0.0191528
1.19432e-006	0	5.9488e-007	5.77454e-007	5.86167e-007	0.00174262	5.01187e-011	0.000558822	0.0192434	0.0190811
1.19432e-006	0	5.92065e-007	5.74667e-007	5.83366e-007	0.00173981	6.30957e-011	0.000558023	0.0191534	0.0189913
1.19432e-006	0	5.88552e-007	5.71189e-007	5.79871e-007	0.00173628	7.94328e-011	0.000557018	0.0190411	0.0188794
1.19432e-006	0	5.84179e-007	5.66861e-007	5.7552e-007	0.00173185	1e-010	0.000555755	0.0189013	0.0187399
1.19432e-006	0	5.78752e-007	5.61489e-007	5.7012e-007	0.00172629	1.25893e-010	0.000554169	0.0187278	0.0185668
1.19432e-006	0	5.72036e-007	5.54842e-007	5.63439e-007	0.00171934	1.58489e-010	0.000552176	0.0185129	0.0183526
1.19432e-006	0	5.63764e-007	5.46658e-007	5.55211e-007	0.00171063	1.99526e-010	0.000549677	0.0182482	0.0180886
1.19432e-006	0	5.53631e-007	5.36633e-007	5.45132e-007	0.00169976	2.51189e-010	0.000546545	0.0179238	0.0177651
1.19432e-006	0	5.41297e-007	5.24435e-007	5.32866e-007	0.00168622	3.16228e-010	0.000542625	0.0175286	0.017371
1.19432e-006	0	5.26405e-007	5.09712e-007	5.18058e-007	0.00166938	3.98107e-010	0.000537727	0.0170511	0.016895
1.19432e-006	0	5.08598e-007	4.92113e-007	5.00355e-007	0.0016485	5.01187e-010	0.00053162	0.0164796	0.0163252
